 [-3.687372    0.12722754 -0.16261053]
 [-3.857368    0.30939323  0.53494453]
 [-3.9407475  -0.8607523  -0.37840104]
 [-3.701473   -1.0619841  -0.4129574 ]
 [-3.478507   -1.1691234  -0.45473364]
 [-3.544768   -1.2517866  -0.42519203]
 [-3.6131744  -1.4484651  -0.38249496]
 [-3.58231    -1.5400252  -0.3468162 ]
 [-3.6578128  -1.6662481  -0.42016223]
 [-3.7540274  -1.7582403  -0.5386292 ]
 [-3.7757483  -1.7526128  -0.56466633]
 [-3.7328014  -1.5493569  -0.5328615 ]
 [-3.645466   -1.1787732  -0.4670202 ]
 [-3.612064   -0.8469104  -0.37930506]
 [-3.537923   -0.6665934  -0.18495451]
 [-3.3844461  -0.6076957  -0.02180682]
 [-3.1946309  -0.51379097  0.09055389]
 [-3.0661857  -0.41111162  0.31928563]
 [-2.7902834  -0.6710203   0.4760838 ]
 [-2.4365475  -0.5957176   0.53807706]
 [-2.073897   -0.13487236  1.1063075 ]
 [-1.9087403  -0.2851334   1.3987135 ]
 [-1.7374678  -0.43532205  1.3212551 ]
 [-1.4425974  -0.2591188   0.98833585]
 [-0.93982923 -0.02574423  0.8519119 ]
 [-0.7542343  -0.12449783  0.888952  ]
 [-0.3968652   0.04872856  1.251451  ]
 [ 0.10756494  0.13727145  1.591181  ]
 [ 0.5707642   0.15997155  1.918641  ]
 [ 0.6666811   0.11617332  2.0775537 ]
 [ 0.7972759  -0.04472791  2.0715392 ]
 [ 1.103617   -0.03883601  1.9541281 ]
 [ 1.2781512   0.04873696  1.9511237 ]
 [ 1.3026451  -0.01429062  1.9393954 ]
 [ 1.5907432  -0.15691386  1.8064648 ]
 [ 2.361824   -0.3198361   1.7122383 ]
 [ 3.121522   -0.45255455  1.558484  ]
 [ 3.5461326  -0.5094894   1.1781869 ]
 [ 3.6373382  -0.36427584  0.70599806]
 [ 3.8019197  -0.21154527  0.25803545]
 [ 4.1445513  -0.26396608 -0.06060701]
 [ 4.3791037  -0.17636912 -0.20904456]
 [ 4.5782146  -0.10731407 -0.18889731]
 [ 4.593779   -0.08280984 -0.1696971 ]
